id	identifier	zh_name	en_name	category	cost	short_effect	zh_effect
1	master-ball	大师球	Master Ball	Standard balls	0	Catches a wild Pokémon every time.	必定能捉到野生宝可梦的， 性能最好的球。
2	ultra-ball	高级球	Ultra Ball	Standard balls	800	Tries to catch a wild Pokémon. Success rate is 2×.	比起超级球来 更容易捉到宝可梦的， 性能非常不错的球。
3	great-ball	超级球	Great Ball	Standard balls	600	Tries to catch a wild Pokémon. Success rate is 1.5×.	比起精灵球来 更容易捉到宝可梦的， 性能还算不错的球。
4	poke-ball	精灵球	Poké Ball	Standard balls	200	Tries to catch a wild Pokémon.	用于投向野生宝可梦 并将其捕捉的球。 它是胶囊样式的。
5	safari-ball	狩猎球	Safari Ball	Standard balls	0	Tries to catch a wild Pokémon in the Great Marsh or Safari Zone. Success rate is 1.5×.	曾在关都地区的狩猎地带 以及神奥地区的大湿地被使用。 是一种特殊的球。
6	net-ball	捕网球	Net Ball	Special balls	1000	Tries to catch a wild Pokémon. Success rate is 3× for water and bug Pokémon.	有点与众不同的球。 能很容易地捕捉 水属性和虫属性的宝可梦。
7	dive-ball	潜水球	Dive Ball	Special balls	1000	Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing.	有点与众不同的球。 能很容易地捕捉 生活在水世界里的宝可梦。
8	nest-ball	巢穴球	Nest Ball	Special balls	1000	Tries to catch a wild Pokémon. Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30.	有点与众不同的球。 捕捉的野生宝可梦越弱， 就会越容易捕捉。
9	repeat-ball	重复球	Repeat Ball	Special balls	1000	Tries to catch a wild Pokémon. Success rate is 3× for previously-caught Pokémon.	有点与众不同的球。 能很容易地捕捉 以前曾捉到过的宝可梦。
10	timer-ball	计时球	Timer Ball	Special balls	1000	Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×.	有点与众不同的球。 回合数花费得越多， 宝可梦就会越容易捕捉。
11	luxury-ball	豪华球	Luxury Ball	Special balls	3000	Tries to catch a wild Pokémon. Caught Pokémon start with 200 happiness.	舒适宜居的球。 捉到的野生宝可梦会 变得非常容易和训练家亲密。
12	premier-ball	纪念球	Premier Ball	Special balls	20	Tries to catch a wild Pokémon.	有点珍贵的球。 特制出来的某种纪念品。
13	dusk-ball	黑暗球	Dusk Ball	Special balls	1000	Tries to catch a wild Pokémon. Success rate is 3.5× at night and in caves.	有点与众不同的球。 能很容易地在夜晚或洞窟等 阴暗的地方捕捉宝可梦。
14	heal-ball	治愈球	Heal Ball	Special balls	300	Tries to catch a wild Pokémon. Caught Pokémon are immediately healed.	有点温柔的球。 能回复捉到的宝可梦的 ＨＰ并治愈异常状态。
15	quick-ball	先机球	Quick Ball	Special balls	1000	Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn.	有点与众不同的球。 如果战斗开始后立刻使用， 就能很容易地捉到宝可梦。
16	cherish-ball	贵重球	Cherish Ball	Special balls	0	Tries to catch a wild Pokémon.	相当珍贵的球。 特制出来的某种纪念品。
17	potion	伤药	Potion	Healing	200	Restores 20 HP.	喷雾式伤药。 能让１只宝可梦 回复２０ＨＰ。
18	antidote	解毒药	Antidote	Status cures	200	Cures poison.	喷雾式药水。 能治愈１只宝可梦的 中毒状态。
19	burn-heal	灼伤药	Burn Heal	Status cures	200	Cures a burn.	喷雾式药水。 能治愈１只宝可梦的 灼伤状态。
20	ice-heal	解冻药	Ice Heal	Status cures	200	Cures freezing.	喷雾式药水。 能治愈１只宝可梦的 冰冻状态。
21	awakening	解眠药	Awakening	Status cures	200	Cures sleep.	喷雾式药水。 能治愈１只宝可梦的 睡眠状态。
